year,month,SPEI
2007,11,-0.4786965226038899
2007,12,-1.081846133781118
2008,1,-0.9120082818435253
2008,2,-1.2464872919349843
2008,3,-1.1212551557736514
2008,4,-1.338701283033633
2008,5,0.4234883516196873
2008,6,0.039581147393990775
2008,7,0.6177863675638664
2008,8,-0.3565568398571871
2008,9,-0.6006626779047588
2008,10,-1.284130944423613
2008,11,-1.6477454148258042
2008,12,-1.1698831738372
2009,1,-0.5846637212866203
2009,2,0.8051318736855834
2009,3,0.6764319274849606
2009,4,0.6175561714406821
2009,5,-1.525101583005918
2009,6,-0.05859055413358548
2009,7,-0.44394567893183784
2009,8,-0.42951221897976816
2009,9,-1.4463300021193695
2009,10,-1.3969057532727953
2009,11,-0.41573233994685277
2009,12,0.9484117771727613
2010,1,1.132967019351473
2010,2,1.9098246792415918
2010,3,2.2690419146057157
2010,4,2.403725557964753
2010,5,2.4783745740882637
2010,6,0.28316095795497154
2010,7,0.47063871272762847
2010,8,0.16758294070656515
2010,9,0.7210047441269013
2010,10,0.3767791454050441
2010,11,0.2950403169272404
2010,12,1.6655304455566604
2011,1,1.8362889189585745
2011,2,1.3711634685925755
2011,3,-0.6657217104941391
2011,4,-0.8238721857219713
2011,5,0.06827147491807822
2011,6,-0.20339255612253215
2011,7,-0.5309291315476288
2011,8,-1.1091670226120411
2011,9,-1.3613991098648495
2011,10,-1.4924135704853356
2011,11,-1.5575993087595168
2011,12,-0.7494923295130341
2012,1,0.39003606188558665
2012,2,-0.5756649439997391
2012,3,0.6321812549927452
2012,4,0.9599589168392051
2012,5,-0.05186853388545624
2012,6,0.8364726845889239
2012,7,0.7095152187026199
2012,8,1.0288379334518007
2012,9,0.9048124684132445
2012,10,0.9540363553367353
2012,11,1.7675597580658309
2012,12,1.7434199775020787
2013,1,2.222547318997701
2013,2,2.263957873457344
2013,3,1.9369409674106197
2013,4,1.9037872805229952
2013,5,0.867014819283001
2013,6,0.5083216224587946
2013,7,0.9651024959650467
2013,8,1.3576054386279528
2013,9,1.0733531358515789
2013,10,0.4759431356885505
2013,11,0.11100445067575278
2013,12,1.2203204486542005
2014,1,0.9745756859420597
2014,2,0.09430913448214025
2014,3,-0.5316134270203297
2014,4,-1.9464947912421136
2014,5,-0.27168085557312643
2014,6,-0.4102950814326938
2014,7,-0.15656766494399973
2014,8,-1.482758864670112
2014,9,-1.395634914165539
2014,10,-1.332439981088704
2014,11,-0.8444355793214757
2014,12,-0.7649031774238251
2015,1,-0.2330291331779129
2015,2,1.356772428634311
2015,3,0.20276127749066664
2015,4,-0.30705789139046935
2015,5,0.12689359135297282
2015,6,0.47516017541857547
2015,7,-0.4067514305743491
2015,8,-0.6520840900568969
2015,9,-1.1361677562399126
2015,10,-0.3992410049071553
2015,11,-0.3257212214088916
2015,12,0.9203315671921617
2016,1,1.3479919790019401
2016,2,1.1715836254259118
2016,3,-0.38071589037969317
2016,4,0.07425657412086926
2016,5,0.2492310601737883
2016,6,1.0462875821255646
2016,7,0.3647395947113582
2016,8,0.007500774384975302
2016,9,-0.33751251243091673
2016,10,0.23139496894308678
2016,11,1.2026243662270333
2016,12,1.581542770504899
2017,1,1.409330572718825
2017,2,0.5946515267611144
2017,3,-0.9593587440290843
2017,4,-1.6491659792301798
2017,5,-1.5357515772999233
2017,6,-1.6218399713069989
2017,7,-1.0891174293679389
2017,8,-0.3838116369683236
2017,9,-0.26000841226625804
2017,10,-0.191736024389051
2017,11,-1.5237362526288332
2017,12,-1.0221257927256722
2018,1,-0.23261129134808198
2018,2,0.14231575343582387
2018,3,0.23058566328110988
2018,4,-0.8037145698495247
2018,5,-0.21908795383035262
2018,6,-0.5199261807333019
2018,7,-0.1559405924452632
2018,8,0.5736436198829457
2018,9,0.8691037023753241
2018,10,1.150362053505926
2018,11,0.12930005379937723
2018,12,-0.4356385007906878
2019,1,-1.0147402142193385
2019,2,-1.9905515903421966
2019,3,-2.260734801675932
2019,4,-2.396011672834575
2019,5,-1.6225470907579191
2019,6,-0.09020192699587538
2019,7,0.4280991212768386
2019,8,1.2730462837672607
2019,9,0.5179425813919366
2019,10,0.4993019775346843
2019,11,-1.338944847486917
2019,12,-0.09946347348342816
2020,1,1.015793769053946
2020,2,1.170344250802915
2020,3,0.10882003293174
2020,4,-0.48936533037708474
2020,5,-0.27604369161544856
2020,6,-0.19213273773618741
2020,7,-1.248697663802801
2020,8,-0.6284345685452974
2020,9,0.2546246922838651
2020,10,1.4943967459528196
2020,11,1.6176420222044703
2020,12,-0.09808982865713495
